name,mark1,mark2,mark3
Student_1,28,36,68
Student_2,89,62,52
Student_3,37,76,47
Student_4,68,48,72
Student_5,94,79,57
Student_6,59,49,63
Student_7,65,90,61
Student_8,99,46,25
Student_9,26,91,81
Student_10,59,40,99
Student_11,37,30,25
Student_12,80,88,48
Student_13,62,84,64
Student_14,71,47,79
Student_15,62,49,88
Student_16,90,54,59
Student_17,68,89,51
Student_18,77,60,86
Student_19,28,97,89
Student_20,57,90,31
Student_21,70,21,41
Student_22,65,30,88
Student_23,57,60,57
Student_24,32,29,85
Student_25,37,25,33
Student_26,84,62,31
Student_27,41,93,75
Student_28,42,91,82
Student_29,82,46,38
Student_30,56,55,55
Student_31,74,95,36
Student_32,34,84,24
Student_33,43,81,66
Student_34,43,80,83
Student_35,24,44,35
Student_36,82,49,88
Student_37,73,61,36
Student_38,48,70,85
Student_39,83,77,51
Student_40,79,58,37
Student_41,80,41,36
Student_42,89,27,78
Student_43,65,37,65
Student_44,77,53,34
Student_45,76,82,100
Student_46,70,50,79
Student_47,31,46,59
Student_48,50,80,68
Student_49,48,66,28
Student_50,68,67,76
Student_51,20,46,28
Student_52,75,62,24
Student_53,28,34,34
Student_54,43,89,70
Student_55,39,82,93
Student_56,80,28,63
Student_57,68,83,69
Student_58,27,92,69
Student_59,82,96,45
Student_60,95,81,53
Student_61,34,47,60
Student_62,49,29,31
Student_63,93,98,95
Student_64,89,89,86
Student_65,84,43,20
Student_66,71,85,50
Student_67,48,90,65
Student_68,70,77,39
Student_69,32,35,73
Student_70,96,69,50
Student_71,99,97,55
Student_72,54,42,99
Student_73,79,75,56
Student_74,23,87,31
Student_75,39,31,43
Student_76,43,76,95
Student_77,80,42,56
Student_78,87,31,28
Student_79,30,72,22
Student_80,54,23,47
Student_81,39,81,93
Student_82,43,63,75
Student_83,92,51,27
Student_84,39,31,63
Student_85,81,70,90
Student_86,29,48,28
Student_87,33,23,33
Student_88,50,21,70
Student_89,46,93,61
Student_90,39,96,73
Student_91,63,87,52
Student_92,37,60,87
Student_93,22,93,93
Student_94,31,37,69
Student_95,47,66,99
Student_96,60,92,33
Student_97,99,74,66
Student_98,41,83,43
Student_99,79,35,48
Student_100,43,61,61
Student_101,46,82,29
Student_102,69,92,93
Student_103,34,85,21
Student_104,97,34,85
Student_105,51,41,39
Student_106,51,41,89
Student_107,90,24,53
Student_108,85,48,40
Student_109,71,40,92
Student_110,77,56,76
Student_111,21,51,67
Student_112,95,35,60
Student_113,83,47,85
Student_114,65,23,28
Student_115,73,61,59
Student_116,64,77,35
Student_117,43,33,54
Student_118,76,55,33
Student_119,55,96,25
Student_120,100,90,26
Student_121,96,41,45
Student_122,97,67,20
Student_123,65,52,20
Student_124,61,30,97
Student_125,48,28,71
Student_126,89,44,49
Student_127,65,40,68
Student_128,82,45,100
Student_129,43,41,68
Student_130,85,35,34
Student_131,32,20,93
Student_132,42,35,60
Student_133,59,46,40
Student_134,76,80,52
Student_135,96,21,43
Student_136,56,65,35
Student_137,52,56,83
Student_138,82,48,70
Student_139,100,60,93
Student_140,81,90,93
Student_141,78,94,32
Student_142,55,94,65
Student_143,76,31,76
Student_144,44,43,35
Student_145,22,92,80
Student_146,73,86,65
Student_147,36,98,69
Student_148,29,87,34
Student_149,70,21,79
Student_150,48,53,74
Student_151,60,25,58
Student_152,44,30,95
Student_153,50,39,82
Student_154,86,36,75
Student_155,83,54,27
Student_156,35,84,23
Student_157,72,67,24
Student_158,69,26,92
Student_159,54,62,87
Student_160,29,100,81
Student_161,100,24,90
Student_162,25,35,57
Student_163,35,95,81
Student_164,64,28,92
Student_165,93,89,87
Student_166,46,34,80
Student_167,62,89,25
Student_168,83,42,33
Student_169,84,39,43
Student_170,93,49,95
Student_171,21,48,85
Student_172,98,73,56
Student_173,90,62,50
Student_174,80,32,45
Student_175,78,97,66
Student_176,71,36,45
Student_177,33,23,100
Student_178,75,21,47
Student_179,49,89,84
Student_180,57,28,41
Student_181,70,66,34
Student_182,37,79,68
Student_183,80,28,57
Student_184,92,42,81
Student_185,59,85,94
Student_186,57,69,38
Student_187,99,98,68
Student_188,35,31,20
Student_189,44,81,98
Student_190,91,35,44
Student_191,34,35,85
Student_192,52,29,59
Student_193,82,67,72
Student_194,56,74,86
Student_195,57,50,36
Student_196,84,87,61
Student_197,26,85,73
Student_198,20,25,67
Student_199,22,61,49
